last_name,first_name,type,state,party,twitter,govtrack_id,position
Daines,Steve,sen,MT,Republican,SteveDaines,412549,f
Hudson,Richard,rep,NC,Republican,RepRichHudson,412550,a
Pittenger,Robert,rep,NC,Republican,RepPittenger,412551,a
Meadows,Mark,rep,NC,Republican,RepMarkMeadows,412552,f
Holding,George,rep,NC,Republican,RepHolding,412553,a
Heitkamp,Heidi,sen,ND,Democrat,SenatorHeitkamp,412554,f
Cramer,Kevin,rep,ND,Republican,RepKevinCramer,412555,a
Fischer,Deb,sen,NE,Republican,SenatorFischer,412556,f
Kuster,Ann,rep,NH,Democrat,RepAnnieKuster,412557,f
Lujan Grisham,Michelle,rep,NM,Democrat,RepLujanGrisham,412558,f
Meng,Grace,rep,NY,Democrat,RepGraceMeng,412560,f
Jeffries,Hakeem,rep,NY,Democrat,RepJeffries,412561,f
Maloney,Sean,rep,NY,Democrat,RepSeanMaloney,412562,f
Collins,Chris,rep,NY,Republican,RepChrisCollins,412563,f
Wenstrup,Brad,rep,OH,Republican,RepBradWenstrup,412564,f
Beatty,Joyce,rep,OH,Democrat,RepBeatty,412565,f
Joyce,David,rep,OH,Republican,RepDaveJoyce,412566,a
Bridenstine,Jim,rep,OK,Republican,RepJBridenstine,412567,a
Mullin,Markwayne,rep,OK,Republican,RepMullin,412568,a
Perry,Scott,rep,PA,Republican,RepScottPerry,412569,a
Rothfus,Keith,rep,PA,Republican,KeithRothfus,412570,a
Cartwright,Matthew,rep,PA,Democrat,RepCartwright,412571,a
Rice,Tom,rep,SC,Republican,RepTomRice,412572,f
Cruz,Ted,sen,TX,Republican,SenTedCruz,412573,f
Weber,Randy,rep,TX,Republican,TXRandy14,412574,f
O'Rourke,Beto,rep,TX,Democrat,RepBetoORourke,412575,f
Castro,Joaquin,rep,TX,Democrat,JoaquinCastrotx,412576,f
Williams,Roger,rep,TX,Republican,RepRWilliams,412578,f
Veasey,Marc,rep,TX,Democrat,RepVeasey,412579,a
Vela,Filemon,rep,TX,Democrat,RepFilemonVela,412580,a
Stewart,Chris,rep,UT,Republican,RepChrisStewart,412581,a
Kaine,Timothy,sen,VA,Democrat,SenKaineOffice,412582,a
Kilmer,Derek,rep,WA,Democrat,RepDerekKilmer,412583,a
Heck,Denny,rep,WA,Democrat,RepDennyHeck,412584,a
Pocan,Mark,rep,WI,Democrat,RepMarkPocan,412585,f
Kelly,Robin,rep,IL,Democrat,RepRobinKelly,412595,a
Sanford,Marshall,rep,SC,Republican,RepSanfordSC,400607,f
Smith,Jason,rep,MO,Republican,RepJasonSmith,412596,a
Booker,Cory,sen,NJ,Democrat,SenBookerOfc,412598,f
Clark,Katherine,rep,MA,Democrat,RepKClark,412600,a
Byrne,Bradley,rep,AL,Republican,RepByrne,412601,a
Jolly,David,rep,FL,Republican,USRepDavidJolly,412603,a
Clawson,Curtis,rep,FL,Republican,RepCurtClawson,412604,f
Brat,David,rep,VA,Republican,,412605,f
Norcross,Donald,rep,NJ,Democrat,,412606,f
Adams,Alma,rep,NC,Democrat,RepAdams,412607,f
Dold,Bob,rep,IL,Republican,,412420,f
Guinta,Frank,rep,NH,Republican,RepFrankGuinta,412447,a
Palmer,Gary,rep,AL,Republican,USRepGaryPalmer,412608,a
Hill,French,rep,AR,Republican,RepFrenchHill,412609,f
Westerman,Bruce,rep,AR,Republican,RepWesterman,412610,a
McSally,Martha,rep,AZ,Republican,RepMcSally,412611,f
Gallego,Ruben,rep,AZ,Democrat,RepRubenGallego,412612,a
DeSaulnier,Mark,rep,CA,Democrat,RepDeSaulnier,412613,f
Knight,Steve,rep,CA,Republican,SteveKnight25,412614,f
Aguilar,Pete,rep,CA,Democrat,reppeteaguilar,412615,f
Lieu,Ted,rep,CA,Democrat,RepTedLieu,412616,f
Torres,Norma,rep,CA,Democrat,NormaJTorres,412617,f
Walters,Mimi,rep,CA,Republican,RepMimiWalters,412618,f
Buck,Ken,rep,CO,Republican,RepKenBuck,412619,f
Graham,Gwen,rep,FL,Democrat,RepGwenGraham,412620,f
Curbelo,Carlos,rep,FL,Republican,RepCurbelo,412621,f
Carter,Buddy,rep,GA,Republican,RepBuddyCarter,412622,a
Hice,Jody,rep,GA,Republican,congressmanhice,412623,a
Loudermilk,Barry,rep,GA,Republican,RepLoudermilk,412624,a
Allen,Rick,rep,GA,Republican,reprickallen,412625,a
Takai,Mark,rep,HI,Democrat,RepMarkTakai,412626,a
Blum,Rod,rep,IA,Republican,RepRodBlum,412627,a
Young,David,rep,IA,Republican,RepDavidYoung,412628,f
Bost,Mike,rep,IL,Republican,RepBost,412629,f
Abraham,Ralph,rep,LA,Republican,RepAbraham,412630,f
Graves,Garret,rep,LA,Republican,RepGarretGraves,412631,f
Moulton,Seth,rep,MA,Democrat,,412632,f
Poliquin,Bruce,rep,ME,Republican,RepPoliquin,412633,f
Moolenaar,John,rep,MI,Republican,RepMoolenaar,412634,a
Bishop,Mike,rep,MI,Republican,RepMikeBishop,412635,a
Trott,Dave,rep,MI,Republican,repdavetrott,412636,a
Dingell,Debbie,rep,MI,Democrat,RepDebDingell,412637,a
Lawrence,Brenda,rep,MI,Democrat,,412638,a
Emmer,Tom,rep,MN,Republican,RepTomEmmer,412639,a
Zinke,Ryan,rep,MT,Republican,RepRyanZinke,412640,f
Rouzer,David,rep,NC,Republican,RepDavidRouzer,412641,a
Ashford,Brad,rep,NE,Democrat,RepBradAshford,412642,f
MacArthur,Tom,rep,NJ,Republican,RepTomMacArthur,412643,a
Watson Coleman,Bonnie,rep,NJ,Democrat,RepBWColeman,412644,f
Hardy,Cresent,rep,NV,Republican,RepHardy,412645,a
Zeldin,Lee,rep,NY,Republican,RepLeeZeldin,412646,a
Rice,Kathleen,rep,NY,Democrat,RepKathleenRice,412647,a
Stefanik,Elise,rep,NY,Republican,RepStefanik,412648,f
Katko,John,rep,NY,Republican,RepJohnKatko,412649,f
Russell,Steve,rep,OK,Republican,USRepRussell,412650,f
Costello,Ryan,rep,PA,Republican,RepRyanCostello,412651,f
Boyle,Brendan,rep,PA,Democrat,RepBrendanBoyle,412652,f
Ratcliffe,John,rep,TX,Republican,RepRatcliffe,412653,a
Hurd,Will,rep,TX,Republican,hurdonthehill,412654,a
Babin,Brian,rep,TX,Republican,RepBrianBabin,412655,f
Love,Mia,rep,UT,Republican,repmialove,412656,a
Beyer,Donald,rep,VA,Democrat,,412657,f
Comstock,Barbara,rep,VA,Republican,RepComstock,412658,a
Plaskett,Stacey,rep,VI,Democrat,staceyplaskett,412659,f
Newhouse,Dan,rep,WA,Republican,RepNewhouse,412660,f
Grothman,Glenn,rep,WI,Republican,,412661,f
Mooney,Alex,rep,WV,Republican,RepAlexMooney,412662,f
Jenkins,Evan,rep,WV,Republican,RepEvanJenkins,412663,f
Amata,Aumua,rep,AS,Republican,,412664,f
Sullivan,Dan,sen,AK,Republican,SenDanSullivan,412665,f
Perdue,David,sen,GA,Republican,sendavidperdue,412666,f
Ernst,Joni,sen,IA,Republican,SenJoniErnst,412667,f
Tillis,Thom,sen,NC,Republican,senthomtillis,412668,a
Rounds,Mike,sen,SD,Republican,SenatorRounds,412669,a
Walker,Bradley,rep,NC,Republican,,412670,a
Sasse,Benjamin,sen,NE,Republican,SenSasse,412671,a
