last_name,first_name,type,state,party,twitter,govtrack_id,position
Fincher,Stephen,rep,TN,Republican,RepFincherTN08,412479,f
Fitzpatrick,Michael,rep,PA,Republican,RepFitzpatrick,400646,f
Flake,Jeff,sen,AZ,Republican,JeffFlake,400134,f
Fleischmann,Charles,rep,TN,Republican,RepChuck,412476,a
Fleming,John,rep,LA,Republican,RepFleming,412275,a
Flores,Bill,rep,TX,Republican,RepBillFlores,412480,a
Forbes,J.,rep,VA,Republican,Randy_Forbes,400137,a
Fortenberry,Jeff,rep,NE,Republican,JeffFortenberry,400640,a
Foxx,Virginia,rep,NC,Republican,VirginiaFoxx,400643,a
Franks,Trent,rep,AZ,Republican,RepTrentFranks,400141,f
Frelinghuysen,Rodney,rep,NJ,Republican,USRepRodney,400142,a
Fudge,Marcia,rep,OH,Democrat,RepMarciaFudge,412327,f
Garamendi,John,rep,CA,Democrat,RepGaramendi,412382,a
Gardner,Cory,sen,CO,Republican,SenCoryGardner,412406,f
Garrett,Scott,rep,NJ,Republican,RepGarrett,400145,a
Gibbs,Bob,rep,OH,Republican,RepBobGibbs,412463,a
Gibson,Christopher,rep,NY,Republican,RepChrisGibson,412453,a
Gohmert,Louie,rep,TX,Republican,RepLouieGohmert,400651,f
Goodlatte,Bob,rep,VA,Republican,RepGoodlatte,400154,f
Gosar,Paul,rep,AZ,Republican,RepGosar,412397,f
Gowdy,Trey,rep,SC,Republican,TGowdySC,412473,f
Granger,Kay,rep,TX,Republican,RepKayGranger,400157,f
Grassley,Charles,sen,IA,Republican,ChuckGrassley,300048,a
Graves,Sam,rep,MO,Republican,RepSamGraves,400158,a
Graves,Tom,rep,GA,Republican,RepTomGraves,412388,f
Green,Al,rep,TX,Democrat,RepAlGreen,400653,a
Green,Gene,rep,TX,Democrat,RepGeneGreen,400160,f
Griffith,H.,rep,VA,Republican,RepMGriffith,412485,a
Grijalva,Raúl,rep,AZ,Democrat,RepraulGrijalva,400162,f
Guthrie,Brett,rep,KY,Republican,RepGuthrie,412278,f
Gutiérrez,Luis,rep,IL,Democrat,LuisGutierrez,400163,f
Hanna,Richard,rep,NY,Republican,RepRichardHanna,412454,f
Harper,Gregg,rep,MS,Republican,GreggHarper,412280,f
Harris,Andy,rep,MD,Republican,RepAndyHarrisMD,412434,f
Hartzler,Vicky,rep,MO,Republican,RepHartzler,412444,f
Hastings,Alcee,rep,FL,Democrat,RepHastingsFL,400170,f
Heck,Joseph,rep,NV,Republican,RepJoeHeck,412446,f
Heinrich,Martin,sen,NM,Democrat,MartinHeinrich,412281,a
Hensarling,Jeb,rep,TX,Republican,RepHensarling,400175,a
Herrera Beutler,Jaime,rep,WA,Republican,HerreraBeutler,412486,a
Higgins,Brian,rep,NY,Democrat,RepBrianHiggins,400641,a
Himes,James,rep,CT,Democrat,JAHimes,412282,a
Hinojosa,Rubén,rep,TX,Democrat,USRepRHinojosa,400179,a
Hirono,Mazie,sen,HI,Democrat,MazieHirono,412200,f
Hoeven,John,sen,ND,Republican,SenJohnHoeven,412494,f
Honda,Michael,rep,CA,Democrat,RepMikeHonda,400185,f
Hoyer,Steny,rep,MD,Democrat,WhipHoyer,400189,f
Huelskamp,Tim,rep,KS,Republican,CongHuelskamp,412429,f
Huizenga,Bill,rep,MI,Republican,RepHuizenga,412437,f
Hultgren,Randy,rep,IL,Republican,RepHultgren,412422,a
Hunter,Duncan,rep,CA,Republican,Rep_Hunter,412283,a
Hurt,Robert,rep,VA,Republican,RepRobertHurt,412484,a
Isakson,John,sen,GA,Republican,SenatorIsakson,400194,a
Israel,Steve,rep,NY,Democrat,RepSteveIsrael,400195,a
Issa,Darrell,rep,CA,Republican,DarrellIssa,400196,a
Jackson Lee,Sheila,rep,TX,Democrat,JacksonLeeTX18,400199,f
Jenkins,Lynn,rep,KS,Republican,RepLynnJenkins,412284,a
Johnson,Bill,rep,OH,Republican,RepBillJohnson,412460,f
Johnson,Eddie,rep,TX,Democrat,RepEBJ,400204,a
Johnson,Henry,rep,GA,Democrat,RepHankJohnson,412199,f
Johnson,Ron,sen,WI,Republican,SenRonJohnson,412496,a
Johnson,Sam,rep,TX,Republican,SamsPressShop,400206,a
Jones,Walter,rep,NC,Republican,RepWalterJones,400209,a
Jordan,Jim,rep,OH,Republican,Jim_Jordan,412226,f
Kaptur,Marcy,rep,OH,Democrat,RepMarcyKaptur,400211,f
Keating,William,rep,MA,Democrat,USRepKeating,412435,f
Kelly,Mike,rep,PA,Republican,MikeKellyPA,412465,f
Kind,Ron,rep,WI,Democrat,RepRonKind,400218,f
King,Peter,rep,NY,Republican,RepPeteKing,400219,a
King,Steve,rep,IA,Republican,SteveKingIA,400220,a
Kinzinger,Adam,rep,IL,Republican,RepKinzinger,412421,f
Kirk,Mark,sen,IL,Republican,SenatorKirk,400222,a
