State,County,Obama,Romney,obama_rate,romney_rate
GA,Mitchell,4153,4081,50.4,49.6
GA,Monroe,8352,3779,68.8,31.2
GA,Montgomery,2662,1135,70.1,29.9
GA,Morgan,6178,2751,69.2,30.8
GA,Murray,8439,2542,76.9,23.1
GA,Muscogee,27469,42458,39.3,60.7
GA,Newton,20979,21844,49.0,51.0
GA,Oconee,12222,4140,74.7,25.3
GA,Oglethorpe,4250,1913,69.0,31.0
GA,Paulding,40771,15779,72.1,27.9
GA,Peach,5280,6141,46.2,53.8
GA,Pickens,10547,1975,84.2,15.8
GA,Pierce,5666,1124,83.4,16.6
GA,Pike,6660,1355,83.1,16.9
GA,Polk,9798,3608,73.1,26.9
GA,Pulaski,2444,1219,66.7,33.3
GA,Putnam,6210,2917,68.0,32.0
GA,Quitman,510,612,45.5,54.5
GA,Rabun,5753,1558,78.7,21.3
GA,Randolph,1249,1749,41.7,58.3
GA,Richmond,25821,52461,33.0,67.0
GA,Rockdale,15671,21878,41.7,58.3
GA,Schley,1286,448,74.2,25.8
GA,Screven,3285,2769,54.3,45.7
GA,Seminole,2244,1475,60.3,39.7
GA,Spalding,14901,9884,60.1,39.9
GA,Stephens,7207,2123,77.2,22.8
GA,Stewart,740,1307,36.2,63.8
GA,Sumter,5372,6370,45.8,54.2
GA,Talbot,1202,2264,34.7,65.3
GA,Taliaferro,321,636,33.5,66.5
GA,Tattnall,4702,1894,71.3,28.7
GA,Taylor,1948,1571,55.4,44.6
GA,Telfair,2479,1804,57.9,42.1
GA,Terrell,1834,2544,41.9,58.1
GA,Thomas,11153,7651,59.3,40.7
GA,Tift,9171,4640,66.4,33.6
GA,Toombs,6519,2740,70.4,29.6
GA,Towns,4834,1265,79.3,20.7
GA,Treutlen,1646,1068,60.6,39.4
GA,Troup,15170,10545,59.0,41.0
GA,Turner,2027,1508,57.3,42.7
GA,Twiggs,1905,2269,45.6,54.4
GA,Union,8771,2137,80.4,19.6
GA,Upson,7229,3955,64.6,35.4
GA,Walker,16245,5269,75.5,24.5
GA,Walton,29018,8139,78.1,21.9
GA,Ware,7933,3892,67.1,32.9
GA,Warren,990,1525,39.4,60.6
GA,Washington,4033,4705,46.2,53.8
GA,Wayne,7553,2594,74.4,25.6
GA,Webster,598,573,51.1,48.9
GA,Wheeler,1366,772,63.9,36.1
GA,White,8647,1670,83.8,16.2
GA,Whitfield,19290,7193,72.8,27.2
GA,Wilcox,2050,1059,65.9,34.1
GA,Wilkes,2628,2080,55.8,44.2
GA,Wilkinson,2245,2180,50.7,49.3
GA,Worth,5864,2486,70.2,29.8
HI,Hawaii,303090,119494,71.7,28.3
HI,Hawaii,46670,14541,76.2,23.8
HI,Honolulu,201803,87255,69.8,30.2
HI,Kauai,18638,6121,75.3,24.7
HI,Maui,35979,11577,75.7,24.3
IA,Iowa,816429,727928,52.9,47.1
IA,Adair,1788,2110,45.9,54.1
IA,Adams,1018,1103,48.0,52.0
IA,Allamakee,3511,3230,52.1,47.9
IA,Appanoose,2934,3153,48.2,51.8
IA,Audubon,1608,1800,47.2,52.8
IA,Benton,6850,6935,49.7,50.3
IA,Black Hawk,39338,26078,60.1,39.9
IA,Boone,7457,6540,53.3,46.7
IA,Bremer,6710,6383,51.2,48.8
IA,Buchanan,5903,4443,57.1,42.9
IA,Buena Vista,3683,4548,44.7,55.3
IA,Butler,3321,4104,44.7,55.3
IA,Calhoun,2232,2890,43.6,56.4
IA,Carroll,4912,5577,46.8,53.2
IA,Cass,2856,4212,40.4,59.6
IA,Cedar,4931,4510,52.2,47.8
IA,Cerro Gordo,13204,10084,56.7,43.3
IA,Cherokee,2623,3656,41.8,58.2
IA,Chickasaw,3552,2836,55.6,44.4
IA,Clarke,2187,2124,50.7,49.3
IA,Clay,3363,4934,40.5,59.5
IA,Clayton,4768,4146,53.5,46.5
IA,Clinton,15123,9423,61.6,38.4
IA,Crawford,3035,3584,45.9,54.1
IA,Dallas,16466,20921,44.0,56.0
IA,Davis,1518,2133,41.6,58.4
IA,Decatur,1790,1945,47.9,52.1
IA,Delaware,4605,4628,49.9,50.1
IA,Des Moines,11873,8130,59.4,40.6
IA,Dickinson,4088,5911,40.9,59.1
IA,Dubuque,28600,21265,57.4,42.6
IA,Emmet,2087,2499,45.5,54.5
IA,Fayette,5709,4484,56.0,44.0
IA,Floyd,4674,3466,57.4,42.6
IA,Franklin,2256,2818,44.5,55.5
IA,Fremont,1636,1971,45.4,54.6
IA,Greene,2369,2373,50.0,50.0
IA,Grundy,2615,4205,38.3,61.7
IA,Guthrie,2565,3164,44.8,55.2
IA,Hamilton,3776,3986,48.6,51.4
IA,Hancock,2506,3306,43.1,56.9
IA,Hardin,4021,4647,46.4,53.6
IA,Harrison,3131,4059,43.5,56.5
IA,Henry,4451,5025,47.0,53.0
IA,Howard,2767,1793,60.7,39.3
IA,Humboldt,1967,3099,38.8,61.2
IA,Ida,1317,2276,36.7,63.3
IA,Iowa,4118,4551,47.5,52.5
IA,Jackson,5877,4171,58.5,41.5
IA,Jasper,10240,8868,53.6,46.4
IA,Jefferson,4772,3429,58.2,41.8
IA,Johnson,50090,23556,68.0,32.0
IA,Jones,5514,4712,53.9,46.1
IA,Keokuk,2298,2840,44.7,55.3
IA,Kossuth,3824,4914,43.8,56.2
IA,Lee,9428,6787,58.1,41.9
IA,Linn,68028,47427,58.9,41.1
IA,Louisa,2449,2416,50.3,49.7
IA,Lucas,1977,2248,46.8,53.2
IA,Lyon,1416,4965,22.2,77.8
IA,Madison,3508,4492,43.9,56.2
IA,Mahaska,4207,6420,39.6,60.4
IA,Marion,7478,9810,43.3,56.7
IA,Marshall,10085,8411,54.5,45.5
IA,Mills,2842,4211,40.3,59.7
IA,Mitchell,2831,2643,51.7,48.3
IA,Monona,2098,2555,45.1,54.9
IA,Monroe,1729,2022,46.1,53.9
IA,Montgomery,1919,2999,39.0,61.0
IA,Muscatine,11213,8152,57.9,42.1
IA,O'Brien,1964,5259,27.2,72.8
IA,Osceola,909,2225,29.0,71.0
IA,Page,2588,4338,37.4,62.6
IA,Palo Alto,2124,2649,44.5,55.5
IA,Plymouth,4148,8577,32.6,67.4
IA,Pocahontas,1518,2388,38.9,61.1
IA,Polk,128264,96029,57.2,42.8
IA,Pottawattamie,19347,21751,47.1,52.9
IA,Poweshiek,5307,4409,54.6,45.4
IA,Ringgold,1181,1366,46.4,53.6
IA,Sac,2117,3086,40.7,59.3
IA,Scott,50581,38223,57.0,43.0
IA,Shelby,2468,3903,38.7,61.3
IA,Sioux,2683,14361,15.7,84.3
IA,Story,25940,19557,57.0,43.0
IA,Tama,4737,4076,53.8,46.2
IA,Taylor,1261,1680,42.9,57.1
IA,Union,3029,2800,52.0,48.0
IA,Van Buren,1398,2058,40.5,59.5
IA,Wapello,8616,6777,56.0,44.0
IA,Warren,12521,13031,49.0,51.0
IA,Washington,5081,5540,47.8,52.2
IA,Wayne,1251,1583,44.1,55.9
IA,Webster,9458,8453,52.8,47.2
IA,Winnebago,2895,2897,50.0,50.0
IA,Winneshiek,6245,4618,57.5,42.5
IA,Woodbury,22026,22136,49.9,50.1
IA,Worth,2343,1743,57.3,42.7
IA,Wright,2794,3309,45.8,54.2
ID,Idaho,212560,420750,33.6,66.4
ID,Ada,77043,97471,44.1,55.9
ID,Adams,577,1413,29.0,71.0
ID,Bannock,13214,21010,38.6,61.4
ID,Bear Lake,302,2489,10.8,89.2
ID,Benewah,1164,2596,31.0,69.0
ID,Bingham,3822,13440,22.1,77.9
ID,Blaine,5992,3939,60.3,39.7
ID,Boise,953,2284,29.4,70.6
ID,Bonner,6500,11367,36.4,63.6
ID,Bonneville,9929,32336,23.5,76.5
ID,Boundary,1225,3138,28.1,71.9
ID,Butte,258,1001,20.5,79.5
ID,Camas,159,402,28.3,71.7
ID,Canyon,19866,44369,30.9,69.1
ID,Caribou,385,2608,12.9,87.1
ID,Cassia,1093,7150,13.3,86.7
ID,Clark,66,235,21.9,78.1
ID,Clearwater,1032,2541,28.9,71.1
ID,Custer,530,1744,23.3,76.7
ID,Elmore,2513,5227,32.5,67.5
ID,Franklin,325,5195,5.9,94.1
ID,Fremont,810,4907,14.2,85.8
ID,Gem,1957,5311,26.9,73.1
ID,Gooding,1287,3696,25.8,74.2
ID,Idaho County,1722,5821,22.8,77.2
ID,Jefferson,1303,9895,11.6,88.4
ID,Jerome,1699,4804,26.1,73.9
ID,Kootenai,18824,39347,32.4,67.6
ID,Latah,8306,7589,52.3,47.7
ID,Lemhi,960,3029,24.1,75.9
ID,Lewis,396,1173,25.2,74.8
ID,Lincoln,429,1141,27.3,72.7
ID,Madison,832,13445,5.8,94.2
ID,Minidoka,1390,5442,20.3,79.7
ID,Nez Perce,6451,9967,39.3,60.7
ID,Oneida,217,1838,10.6,89.4
ID,Owyhee,833,2794,23.0,77.0
ID,Payette,2271,6004,27.4,72.6
ID,Power,982,1870,34.4,65.6
ID,Shoshone,2277,2699,45.8,54.2
ID,Teton,1926,2458,43.9,56.1
ID,Twin Falls,7541,19773,27.6,72.4
ID,Valley,2095,2664,44.0,56.0
ID,Washington,1104,3128,26.1,73.9
IL,Illinois,2916811,2090116,58.3,41.7
IL,Adams,9627,20371,32.1,67.9
IL,Alexander,1961,1485,56.9,43.1
IL,Bond,3016,4091,42.4,57.6
IL,Boone,9868,11084,47.1,52.9
IL,Brown,787,1511,34.2,65.8
IL,Bureau,8118,8151,49.9,50.1
IL,Calhoun,1079,1439,42.9,57.1
IL,Carroll,3658,3551,50.7,49.3
IL,Cass,2050,2707,43.1,56.9
IL,Champaign,40378,35086,53.5,46.5
IL,Christian,5487,8873,38.2,61.8
IL,Clark,2587,5138,33.5,66.5
IL,Clay,1581,4184,27.4,72.6
IL,Clinton,5577,10493,34.7,65.3
IL,Coles,9252,11623,44.3,55.7
IL,Cook,1439123,479204,75.0,25.0
IL,Crawford,2855,5577,33.9,66.1
IL,Cumberland,1640,3506,31.9,68.1
IL,DeKalb,21171,18906,52.8,47.2
IL,DeWitt,2598,4576,36.2,63.8
IL,Douglas,2426,5331,31.3,68.7
IL,DuPage,197411,193333,50.5,49.5
IL,Edgar,2563,5125,33.3,66.7
IL,Edwards,754,2402,23.9,76.1
IL,Effingham,3855,12491,23.6,76.4
IL,Fayette,2848,5950,32.4,67.6
IL,Ford,1654,4225,28.1,71.9
IL,Franklin,7245,10253,41.4,58.6
IL,Fulton,8324,6622,55.7,44.3
IL,Gallatin,1028,1492,40.8,59.2
IL,Greene,2023,3446,37.0,63.0
IL,Grundy,9319,11198,45.4,54.6
IL,Hamilton,1266,2566,33.0,67.0
IL,Hancock,3246,4810,40.3,59.7
IL,Hardin,742,1535,32.6,67.4
IL,Henderson,1977,1538,56.2,43.8
IL,Henry,12316,11564,51.6,48.4
IL,Iroquois,3408,9115,27.2,72.8
IL,Jackson,11306,9130,55.3,44.7
IL,Jasper,1434,3511,29.0,71.0
IL,Jefferson,6080,9805,38.3,61.7
IL,Jersey,3656,6032,37.7,62.3
IL,JoDaviess,5660,5529,50.6,49.4
IL,Johnson,1571,3959,28.4,71.6
IL,Kane,91120,89502,50.4,49.6
IL,Kankakee,21574,23115,48.3,51.7
IL,Kendall,21219,23076,47.9,52.1
IL,Knox,12993,9133,58.7,41.3
IL,Lake,151552,128609,54.1,45.9
IL,LaSalle,23023,23207,49.8,50.2
IL,Lawrence,2010,3853,34.3,65.7
IL,Lee,6932,8046,46.3,53.7
IL,Livingston,5014,9745,34.0,66.0
IL,Logan,3974,7835,33.7,66.3
IL,McDonough,5957,6142,49.2,50.8
IL,McHenry,59691,71488,45.5,54.5
IL,McLean,31590,39638,44.4,55.6
IL,Macon,22688,25249,47.3,52.7
IL,Macoupin,9440,10909,46.4,53.6
IL,Madison,58813,60481,49.3,50.7
IL,Marion,6210,9229,40.2,59.8
IL,Marshall,2452,3287,42.7,57.3
IL,Mason,2867,3265,46.8,53.2
IL,Massac,2092,4278,32.8,67.2
IL,Menard,2095,3944,34.7,65.3
IL,Mercer,4503,3874,53.8,46.2
IL,Monroe,6205,10879,36.3,63.7
IL,Montgomery,5053,6771,42.7,57.3
IL,Morgan,5792,7962,42.1,57.9
IL,Moultrie,2142,3781,36.2,63.8
IL,Ogle,9504,13409,41.5,58.5
IL,Peoria,40050,36617,52.2,47.8
IL,Perry,3813,5497,41.0,59.0
IL,Piatt,3081,5412,36.3,63.7
IL,Pike,2276,4853,31.9,68.1
IL,Pope,649,1511,30.0,70.0
IL,Pulaski,1389,1562,47.1,52.9
IL,Putnam,1558,1500,50.9,49.1
IL,Randolph,5753,8284,41.0,59.0
IL,Richland,2360,4750,33.2,66.8
IL,Rock Island,39081,24888,61.1,38.9
IL,St. Clair,66749,49610,57.4,42.6
IL,Saline,3697,6803,35.2,64.8
IL,Sangamon,41961,50131,45.6,54.4
IL,Schuyler,1726,2062,45.6,54.4
IL,Scott,910,1586,36.5,63.5
IL,Shelby,3336,6837,32.8,67.2
IL,Stark,1095,1527,41.8,58.2
IL,Stephenson,7954,8742,47.6,52.4
IL,Tazewell,24385,35266,40.9,59.1
IL,Union,3135,4951,38.8,61.2
IL,Vermilion,10773,14888,42.0,58.0
IL,Wabash,1588,3473,31.4,68.6
IL,Warren,3893,3460,52.9,47.1
IL,Washington,2448,4787,33.8,66.2
IL,Wayne,1514,5984,20.2,79.8
IL,White,2187,4729,31.6,68.4
IL,Whiteside,12393,8676,58.8,41.2
IL,Will,127522,118366,51.9,48.1
IL,Williamson,10622,17880,37.3,62.7
IL,Winnebago,60334,53722,52.9,47.1
IL,Woodford,5564,12947,30.1,69.9
IN,Indiana,1140425,1412620,44.7,55.3
IN,Adams,3800,8936,29.8,70.2
IN,Allen,59834,84378,41.5,58.5
IN,Bartholomew,10622,18083,37.0,63.0
IN,Benton,1159,2329,33.2,66.8
IN,Blackford,1927,2710,41.6,58.4
IN,Boone,8326,18807,30.7,69.3
IN,Brown,3056,4330,41.4,58.6
IN,Carroll,2631,4993,34.5,65.5
IN,Cass,5365,8432,38.9,61.1
IN,Clark,20775,25422,45.0,55.0
IN,Clay,3630,7065,33.9,66.1
IN,Clinton,3307,6338,34.3,65.7
IN,Crawford,2040,2418,45.8,54.2
IN,Daviess,2437,7638,24.2,75.8
IN,Dearborn,6527,15391,29.8,70.2
IN,Decatur,2941,7119,29.2,70.8
IN,DeKalb,5419,10586,33.9,66.1
IN,Delaware,22630,21231,51.6,48.4
IN,Dubois,6522,11654,35.9,64.1
IN,Elkhart,24376,42348,36.5,63.5
IN,Fayette,3553,5044,41.3,58.7
IN,Floyd,14805,19868,42.7,57.3
IN,Fountain,2233,4660,32.4,67.6
IN,Franklin,2907,7421,28.1,71.9
IN,Fulton,2621,5315,33.0,67.0
IN,Gibson,4928,9487,34.2,65.8
IN,Grant,9589,15148,38.8,61.2
IN,Greene,4340,8457,33.9,66.1
IN,Hamilton,43794,90740,32.6,67.4
IN,Hancock,9303,22750,29.0,71.0
IN,Harrison,6600,10629,38.3,61.7
IN,Hendricks,21100,44308,32.3,67.7
IN,Henry,7613,10836,41.3,58.7
IN,Howard,15097,20284,42.7,57.3
IN,Huntington,4596,10862,29.7,70.3
IN,Jackson,5838,10419,35.9,64.1
IN,Jasper,4672,7955,37.0,63.0
IN,Jay,3063,4643,39.7,60.3
IN,Jefferson,5728,7096,44.7,55.3
IN,Jennings,3818,6112,38.4,61.6
IN,Johnson,17080,39136,30.4,69.6
IN,Knox,5228,9612,35.2,64.8
IN,Kosciusko,6862,22553,23.3,76.7
IN,LaGrange,2897,6227,31.8,68.2
IN,Lake,130824,68397,65.7,34.3
IN,LaPorte,24104,18609,56.4,43.6
IN,Lawrence,5779,11622,33.2,66.8
IN,Madison,24404,26755,47.7,52.3
IN,Marion,215474,136131,61.3,38.7
IN,Marshall,6136,11260,35.3,64.7
IN,Martin,1351,3262,29.3,70.7
IN,Miami,4220,8163,34.1,65.9
IN,Monroe,22885,16254,58.5,41.5
IN,Montgomery,4244,9768,30.3,69.7
IN,Morgan,7969,19591,28.9,71.1
IN,Newton,2212,3291,40.2,59.8
IN,Noble,5229,10680,32.9,67.1
IN,Ohio,992,1757,36.1,63.9
IN,Orange,2939,4615,38.9,61.1
IN,Owen,2823,5062,35.8,64.2
IN,Parke,2106,4228,33.2,66.8
IN,Perry,4314,3403,55.9,44.1
IN,Pike,2125,3627,36.9,63.1
IN,Porter,36950,34197,51.9,48.1
IN,Posey,4531,7427,37.9,62.1
IN,Pulaski,1899,3366,36.1,63.9
IN,Putnam,4504,9004,33.3,66.7
IN,Randolph,3768,6218,37.7,62.3
IN,Ripley,3241,7484,30.2,69.8
IN,Rush,2221,4633,32.4,67.6
IN,St. Joseph,56458,52575,51.8,48.2
IN,Scott,3998,4539,46.8,53.2
IN,Shelby,5357,10972,32.8,67.2
IN,Spencer,4026,5515,42.2,57.8
IN,Starke,3809,4738,44.6,55.4
IN,Steuben,4846,8542,36.2,63.8
IN,Sullivan,3191,4902,39.4,60.6
IN,Switzerland,1437,1872,43.4,56.6
IN,Tippecanoe,26642,28708,48.1,51.9
IN,Tipton,2432,4773,33.8,66.2
IN,Union,1018,2022,33.5,66.5
IN,Vanderburgh,31659,39504,44.5,55.5
IN,Vermillion,2979,3426,46.5,53.5
IN,Vigo,19707,19368,50.4,49.6
IN,Wabash,3929,8528,31.5,68.5
IN,Warren,1324,2377,35.8,64.2
IN,Warrick,8791,15350,36.4,63.6
IN,Washington,3909,6532,37.4,62.6
IN,Wayne,10591,14321,42.5,57.5
IN,Wells,3434,9255,27.1,72.9
IN,White,3635,5970,37.8,62.2
IN,Whitley,4420,10257,30.1,69.9
KS,Kansas,427918,678719,38.7,61.3
KS,Allen,1842,3261,36.1,63.9
KS,Anderson,937,2246,29.4,70.6
KS,Atchison,2486,3836,39.3,60.7
KS,Barber,473,1753,21.2,78.8
KS,Barton,2693,9132,22.8,77.2
KS,Bourbon,1951,4022,32.7,67.3
KS,Brown,1039,2738,27.5,72.5
KS,Butler,7124,17764,28.6,71.4
KS,Chase,343,857,28.6,71.4
KS,Chautauqua,259,1201,17.7,82.3
KS,Cherokee,2868,5345,34.9,65.1
KS,Cheyenne,231,1157,16.6,83.4
KS,Clark,171,791,17.8,82.2
KS,Clay,811,2715,23.0,77.0
KS,Cloud,951,2886,24.8,75.2
KS,Coffey,884,2860,23.6,76.4
KS,Comanche,141,756,15.7,84.3
KS,Cowley,4219,7932,34.7,65.3
KS,Crawford,6545,7480,46.7,53.3
KS,Decatur,266,1219,17.9,82.1
KS,Dickinson,1962,5709,25.6,74.4
KS,Doniphan,885,2397,27.0,73.0
KS,Douglas,28012,17028,62.2,37.8
KS,Edwards,291,1048,21.7,78.3
KS,Elk,277,1040,21.0,79.0
KS,Ellis,3464,9057,27.7,72.3
KS,Ellsworth,696,1905,26.8,73.2
KS,Finney,2307,5108,31.1,68.9
KS,Ford,2468,5459,31.1,68.9
KS,Franklin,3611,6893,34.4,65.6
KS,Geary,3158,4242,42.7,57.3
KS,Gove,174,1155,13.1,86.9
KS,Graham,248,1044,19.2,80.8
KS,Grant,437,1742,20.1,79.9
KS,Gray,304,1568,16.2,83.8
KS,Greeley,112,539,17.2,82.8
KS,Greenwood,653,1986,24.7,75.3
KS,Hamilton,159,678,19.0,81.0
KS,Harper,536,1723,23.7,76.3
KS,Harvey,5162,8352,38.2,61.8
KS,Haskell,202,1131,15.2,84.8
KS,Hodgeman,178,857,17.2,82.8
KS,Jackson,1870,3476,35.0,65.0
KS,Jefferson,2883,4647,38.3,61.7
KS,Jewell,225,1220,15.6,84.4
KS,Johnson,107651,155442,40.9,59.1
KS,Kearny,261,1060,19.8,80.2
KS,Kingman,731,2371,23.6,76.4
KS,Kiowa,160,970,14.2,85.8
KS,Labette,3074,4668,39.7,60.3
KS,Lane,170,732,18.8,81.2
KS,Leavenworth,11072,16825,39.7,60.3
KS,Lincoln,284,1148,19.8,80.2
KS,Linn,1108,3079,26.5,73.5
KS,Logan,194,1084,15.2,84.8
KS,Lyon,4972,6358,43.9,56.1
KS,McPherson,3384,8399,28.7,71.3
KS,Marion,1371,3865,26.2,73.8
KS,Marshall,1451,3123,31.7,68.3
KS,Meade,254,1394,15.4,84.6
KS,Miami,4635,9726,32.3,67.7
KS,Mitchell,576,2293,20.1,79.9
KS,Montgomery,3406,8417,28.8,71.2
KS,Morris,705,1750,28.7,71.3
KS,Morton,180,1050,14.6,85.4
KS,Nemaha,988,3878,20.3,79.7
KS,Neosho,2012,4193,32.4,67.6
KS,Ness,211,1190,15.1,84.9
KS,Norton,393,1855,17.5,82.5
KS,Osage,2228,4336,33.9,66.1
KS,Osborne,320,1448,18.1,81.9
KS,Ottawa,548,2260,19.5,80.5
KS,Pawnee,704,1808,28.0,72.0
KS,Phillips,376,2116,15.1,84.9
KS,Pottawatomie,2291,6692,25.5,74.5
KS,Pratt,974,2730,26.3,73.7
KS,Rawlins,184,1207,13.2,86.8
KS,Reno,7888,15398,33.9,66.1
KS,Republic,470,2098,18.3,81.7
KS,Rice,899,2631,25.5,74.5
KS,Riley,8587,11157,43.5,56.5
KS,Rooks,398,2159,15.6,84.4
KS,Rush,361,1151,23.9,76.1
KS,Russell,584,2505,18.9,81.1
KS,Saline,6910,13697,33.5,66.5
KS,Scott,271,1702,13.7,86.3
KS,Sedgwick,69373,104411,39.9,60.1
KS,Seward,1393,3495,28.5,71.5
KS,Shawnee,35959,37226,49.1,50.9
KS,Sheridan,165,1136,12.7,87.3
KS,Sherman,575,1967,22.6,77.4
KS,Smith,345,1598,17.8,82.2
KS,Stafford,403,1382,22.6,77.4
KS,Stanton,135,571,19.1,80.9
KS,Stevens,241,1724,12.3,87.7
KS,Sumner,2617,6162,29.8,70.2
KS,Thomas,576,2729,17.4,82.6
KS,Trego,289,1230,19.0,81.0
KS,Wabaunsee,908,2230,28.9,71.1
KS,Wallace,68,702,8.8,91.2
KS,Washington,515,2300,18.3,81.7
KS,Wichita,157,821,16.1,83.9
KS,Wilson,813,2812,22.4,77.6
KS,Woodson,377,1030,26.8,73.2
KS,Wyandotte,33265,15273,68.5,31.5
KY,Kentucky,679340,1087127,38.5,61.5
KY,Adair,1660,5841,22.1,77.9
KY,Allen,1808,5184,25.9,74.1
KY,Anderson,3315,6822,32.7,67.3
KY,Ballard,1189,2647,31.0,69.0
KY,Barren,5400,10922,33.1,66.9
KY,Bath,1770,2275,43.8,56.2
KY,Bell,2224,7127,23.8,76.2
KY,Boone,15628,35920,30.3,69.7
KY,Bourbon,3075,4692,39.6,60.4
KY,Boyd,7776,10883,41.7,58.3
KY,Boyle,4471,7703,36.7,63.3
KY,Bracken,1147,2029,36.1,63.9
KY,Breathitt,1562,3318,32.0,68.0
KY,Breckinridge,2825,5025,36.0,64.0
KY,Bullitt,9971,21306,31.9,68.1
KY,Butler,1293,3716,25.8,74.2
KY,Caldwell,1852,3904,32.2,67.8
KY,Calloway,5314,9438,36.0,64.0
KY,Campbell,15080,24240,38.4,61.6
KY,Carlisle,750,1835,29.0,71.0
KY,Carroll,1629,1999,44.9,55.1
KY,Carter,3383,5279,39.1,60.9
KY,Casey,1086,4904,18.1,81.9
KY,Christian,8252,13475,38.0,62.0
KY,Clark,5228,9931,34.5,65.5
KY,Clay,1111,6176,15.2,84.8
KY,Clinton,752,3569,17.4,82.6
KY,Crittenden,960,2839,25.3,74.7
KY,Cumberland,599,2216,21.3,78.7
KY,Daviess,16208,25092,39.2,60.8
KY,Edmonson,1374,3232,29.8,70.2
KY,Elliott,1186,1126,51.3,48.7
KY,Estill,1356,3749,26.6,73.4
KY,Fayette,62078,60793,50.5,49.5
KY,Fleming,1911,3780,33.6,66.4
KY,Floyd,4733,9784,32.6,67.4
KY,Franklin,11535,11345,50.4,49.6
KY,Fulton,1022,1425,41.8,58.2
KY,Gallatin,1238,1758,41.3,58.7
KY,Garrard,1661,5310,23.8,76.2
KY,Grant,2810,5664,33.2,66.8
KY,Graves,4547,10699,29.8,70.2
KY,Grayson,2744,6404,30.0,70.0
KY,Green,1165,3634,24.3,75.7
KY,Greenup,6027,8855,40.5,59.5
KY,Hancock,1833,2212,45.3,54.7
KY,Hardin,15214,23357,39.4,60.6
KY,Harlan,1830,8653,17.5,82.5
KY,Harrison,2471,4556,35.2,64.8
KY,Hart,2283,4256,34.9,65.1
KY,Henderson,8091,10296,44.0,56.0
KY,Henry,2529,3940,39.1,60.9
KY,Hickman,686,1431,32.4,67.6
KY,Hopkins,5789,13681,29.7,70.3
KY,Jackson,612,4365,12.3,87.7
KY,Jefferson,186164,148415,55.6,44.4
KY,Jessamine,6001,14232,29.7,70.3
KY,Johnson,1723,7095,19.5,80.5
KY,Kenton,24917,41387,37.6,62.4
KY,Knott,1420,4130,25.6,74.4
KY,Knox,2484,8467,22.7,77.3
KY,LaRue,1733,3911,30.7,69.3
KY,Laurel,3905,18151,17.7,82.3
KY,Lawrence,1520,3995,27.6,72.4
KY,Lee,595,1977,23.1,76.9
KY,Leslie,433,4439,8.9,91.1
KY,Letcher,1702,6811,20.0,80.0
KY,Lewis,1342,3326,28.7,71.3
KY,Lincoln,2582,6416,28.7,71.3
KY,Livingston,1346,3089,30.3,69.7
KY,Logan,3469,6899,33.5,66.5
KY,Lyon,1373,2412,36.3,63.7
KY,McCracken,10062,19979,33.5,66.5
KY,McCreary,1069,4564,19.0,81.0
KY,McLean,1432,2705,34.6,65.4
KY,Madison,11512,21128,35.3,64.7
KY,Magoffin,1433,3391,29.7,70.3
KY,Marion,3418,3800,47.4,52.6
KY,Marshall,5022,10402,32.6,67.4
KY,Martin,574,3180,15.3,84.7
KY,Mason,2592,4197,38.2,61.8
KY,Meade,4122,6606,38.4,61.6
KY,Menifee,1048,1484,41.4,58.6
KY,Mercer,2966,6820,30.3,69.7
KY,Metcalfe,1425,2676,34.7,65.3
KY,Monroe,936,3762,19.9,80.1
KY,Montgomery,3701,6398,36.6,63.4
KY,Morgan,1369,3021,31.2,68.8
KY,Muhlenberg,4771,7762,38.1,61.9
KY,Nelson,7611,10673,41.6,58.4
KY,Nicholas,948,1583,37.5,62.5
KY,Ohio,2987,6470,31.6,68.4
KY,Oldham,9240,20179,31.4,68.6
KY,Owen,1501,2971,33.6,66.4
KY,Owsley,283,1279,18.1,81.9
KY,Pendleton,1859,3556,34.3,65.7
KY,Perry,2047,8040,20.3,79.7
KY,Pike,5645,17589,24.3,75.7
KY,Powell,1620,2726,37.3,62.7
KY,Pulaski,4976,20714,19.4,80.6
KY,Robertson,340,579,37.0,63.0
KY,Rockcastle,1097,5028,17.9,82.1
KY,Rowan,3438,4035,46.0,54.0
KY,Russell,1445,6346,18.5,81.5
KY,Scott,7532,12679,37.3,62.7
KY,Shelby,6634,11790,36.0,64.0
KY,Simpson,2650,4355,37.8,62.2
KY,Spencer,2549,5726,30.8,69.2
KY,Taylor,3284,7551,30.3,69.7
KY,Todd,1403,3247,30.2,69.8
KY,Trigg,2115,4520,31.9,68.1
KY,Trimble,1355,2133,38.8,61.2
KY,Union,1941,3952,32.9,67.1
KY,Warren,16805,26384,38.9,61.1
KY,Washington,1669,3495,32.3,67.7
KY,Wayne,1855,5289,26.0,74.0
KY,Webster,1765,3607,32.9,67.1
KY,Whitley,2683,10232,20.8,79.2
KY,Wolfe,976,1542,38.8,61.2
KY,Woodford,4883,7218,40.4,59.6
LA,Louisiana,808496,1152460,41.2,58.8
LA,Acadia,6559,19931,24.8,75.2
LA,Allen,2616,6495,28.7,71.3
LA,Ascension,16343,33846,32.6,67.4
LA,Assumption,4754,6082,43.9,56.1
LA,Avoyelles,6075,10667,36.3,63.7
LA,Beauregard,2827,11111,20.3,79.7
LA,Bienville,3490,3641,48.9,51.1
LA,Bossier,12955,34986,27.0,73.0
LA,Caddo,57879,52378,52.5,47.5
