State,County,Obama,Romney,obama_rate,romney_rate
AZ,Arizona,900081,1107130,44.8,55.2
AZ,Apache,16833,8198,67.2,32.8
AZ,Cochise,16223,26742,37.8,62.2
AZ,Coconino,26316,19368,57.6,42.4
AZ,Gila,6650,11525,36.6,63.4
AZ,Graham,3608,8076,30.9,69.1
AZ,Greenlee,1310,1590,45.2,54.8
AZ,La Paz,1619,3205,33.6,66.4
AZ,Maricopa,512008,654835,43.9,56.1
AZ,Mohave,18324,46442,28.3,71.7
AZ,Navajo,16157,19155,45.8,54.2
AZ,Pima,183470,162927,53.0,47.0
AZ,Pinal,41428,58947,41.3,58.7
AZ,Santa Cruz,9486,4235,69.1,30.9
AZ,Yavapai,32624,62385,34.3,65.7
AZ,Yuma,14025,19500,41.8,58.2
CA,California,6241648,4046524,60.7,39.3
CA,Alameda,438091,104330,80.8,19.2
CA,Alpine,389,236,62.2,37.8
CA,Amador,6001,8903,40.3,59.7
CA,Butte,32567,35312,48.0,52.0
CA,Calaveras,7404,10537,41.3,58.7
CA,Colusa,2248,3521,39.0,61.0
CA,Contra Costa,230826,112547,67.2,32.8
CA,Del Norte,3396,4256,44.4,55.6
CA,El Dorado,34033,49661,40.7,59.3
CA,Fresno,85862,91143,48.5,51.5
CA,Glenn,3276,5608,36.9,63.1
CA,Humboldt,27757,15653,63.9,36.1
CA,Imperial,17464,9545,64.7,35.3
CA,Inyo,2775,3541,43.9,56.1
CA,Kern,64690,99840,39.3,60.7
CA,Kings,12282,17184,41.7,58.3
CA,Lake,9159,6474,58.6,41.4
CA,Lassen,3044,7261,29.5,70.5
CA,Los Angeles,1672164,699600,70.5,29.5
CA,Madera,12698,18990,40.1,59.9
CA,Marin,73450,23347,75.9,24.1
CA,Mariposa,3080,4434,41.0,59.0
CA,Mendocino,11869,5129,69.8,30.2
CA,Merced,26128,23403,52.8,47.2
CA,Modoc,1113,2779,28.6,71.4
CA,Mono,2574,2202,53.9,46.1
CA,Monterey,51712,25087,67.3,32.7
CA,Napa,19964,11647,63.2,36.8
CA,Nevada,14261,15696,47.6,52.4
CA,Orange,457077,541592,45.8,54.2
CA,Placer,49126,74460,39.8,60.2
CA,Plumas,3670,5240,41.2,58.8
CA,Riverside,287754,290227,49.8,50.2
CA,Sacramento,221063,157688,58.4,41.6
CA,San Benito,8617,6052,58.7,41.3
CA,San Bernardino,274203,245468,52.8,47.2
CA,San Diego,478386,431046,52.6,47.4
CA,San Francisco,267857,42654,86.3,13.7
CA,San Joaquin,80005,66742,54.5,45.5
CA,San Luis Obispo,57655,56500,50.5,49.5
CA,San Mateo,151036,56244,72.9,27.1
CA,Santa Barbara,84279,59096,58.8,41.2
CA,Santa Clara,343239,136347,71.6,28.4
CA,Santa Cruz,61106,17132,78.1,21.9
CA,Shasta,18184,34561,34.5,65.5
CA,Sierra,652,1056,38.2,61.8
CA,Siskiyou,7110,9844,41.9,58.1
CA,Solano,87225,48364,64.3,35.7
CA,Sonoma,124504,45666,73.2,26.8
CA,Stanislaus,70609,69549,50.4,49.6
CA,Sutter,8004,12576,38.9,61.1
CA,Tehama,6032,10791,35.9,64.1
CA,Trinity,2367,2422,49.4,50.6
CA,Tulare,29191,42186,40.9,59.1
CA,Tuolumne,9628,13410,41.8,58.2
CA,Ventura,138119,123919,52.7,47.3
