type,coordinates,location_displayname,City,State,posted_time ,epoch_time
Polygon,"-80.334244, 25.643799; -80.334244, 25.691639; -80.279685, 25.691639; -80.279685, 25.643799","Pinecrest, FL",Pinecrest, FL,12/17/14 2:07 PM,1418825257
Polygon,"-80.095586, 40.3615796; -80.095586, 40.501198; -79.8657933, 40.501198; -79.8657933, 40.3615796","Pittsburgh, PA",Pittsburgh, PA,12/16/14 4:39 PM,1418747946
Polygon,"-80.095586, 40.3615796; -80.095586, 40.501198; -79.8657933, 40.501198; -79.8657933, 40.3615796","Pittsburgh, PA",Pittsburgh, PA,12/16/14 7:45 PM,1418759159
Polygon,"-80.095586, 40.3615796; -80.095586, 40.501198; -79.8657933, 40.501198; -79.8657933, 40.3615796","Pittsburgh, PA",Pittsburgh, PA,12/16/14 7:48 PM,1418759302
Polygon,"-80.095586, 40.3615796; -80.095586, 40.501198; -79.8657933, 40.501198; -79.8657933, 40.3615796","Pittsburgh, PA",Pittsburgh, PA,12/17/14 3:19 AM,1418786368
Polygon,"-75.160057, 40.368676; -75.160057, 40.4034039; -75.121583, 40.4034039; -75.121583, 40.368676","Plumsteadville, PA",Plumsteadville, PA,12/17/14 2:50 PM,1418827847
Polygon,"-93.556704, 44.978417; -93.556704, 45.0729; -93.400552, 45.0729; -93.400552, 44.978417","Plymouth, MN",Plymouth, MN,12/17/14 2:41 PM,1418827299
Polygon,"-117.834663, 34.0182828; -117.834663, 34.1126181; -117.7111706, 34.1126181; -117.7111706, 34.0182828","Pomona, CA",Pomona, CA,12/16/14 2:52 AM,1418698323
Polygon,"-80.1955611, 26.206136; -80.1955611, 26.2976539; -80.0817297, 26.2976539; -80.0817297, 26.206136","Pompano Beach, FL",Pompano Beach, FL,12/16/14 1:53 AM,1418694783
Polygon,"-81.338145, 32.007509; -81.338145, 32.191443; -81.197739, 32.191443; -81.197739, 32.007509","Pooler, GA",Pooler, GA,12/17/14 2:52 PM,1418827941
Polygon,"-95.328172, 30.063898; -95.328172, 30.15472; -95.190844, 30.15472; -95.190844, 30.063898","Porter, TX",Porter, TX,12/16/14 3:01 PM,1418742083
Polygon,"-122.7900653, 45.421863; -122.7900653, 45.6509405; -122.471751, 45.6509405; -122.471751, 45.421863","Portland, OR",Portland, OR,12/17/14 3:08 PM,1418828916
Polygon,"-122.7900653, 45.421863; -122.7900653, 45.6509405; -122.471751, 45.6509405; -122.471751, 45.421863","Portland, OR",Portland, OR,12/17/14 3:09 PM,1418828998
