country_code,location_coord_type,location_coords,location_displayname,City,State,posted_time ,epoch_time
United States,Polygon,"-74.255641, 40.495865; -74.255641, 40.91533; -73.699793, 40.91533; -73.699793, 40.495865","New York, NY",New York, NY,12/16/2014 20:09,1418760541
United States,Polygon,"-74.255641, 40.495865; -74.255641, 40.91533; -73.699793, 40.91533; -73.699793, 40.495865","New York, NY",New York, NY,12/16/2014 20:09,1418760554
United States,Polygon,"-74.255641, 40.495865; -74.255641, 40.91533; -73.699793, 40.91533; -73.699793, 40.495865","New York, NY",New York, NY,12/16/2014 20:09,1418760569
United States,Polygon,"-74.255641, 40.495865; -74.255641, 40.91533; -73.699793, 40.91533; -73.699793, 40.495865","New York, NY",New York, NY,12/16/2014 20:09,1418760589
United States,Polygon,"-74.255641, 40.495865; -74.255641, 40.91533; -73.699793, 40.91533; -73.699793, 40.495865","New York, NY",New York, NY,12/16/2014 20:10,1418760647
United States,Polygon,"-79.76259, 40.477383; -79.76259, 45.015851; -71.777492, 45.015851; -71.777492, 40.477383","New York, US",New York, US,12/17/2014 0:24,1418775858
United States,Polygon,"-74.255641, 40.495865; -74.255641, 40.91533; -73.699793, 40.91533; -73.699793, 40.495865","New York, NY",New York, NY,12/17/2014 7:17,1418800625
United States,Polygon,"-74.255641, 40.495865; -74.255641, 40.91533; -73.699793, 40.91533; -73.699793, 40.495865","New York, NY",New York, NY,12/17/2014 7:17,1418800640
United States,Polygon,"-82.4815876, 40.0356167; -82.4815876, 40.1237771; -82.3337183, 40.1237771; -82.3337183, 40.0356167","Newark, OH",Newark, OH,12/17/2014 14:54,1418828069
United States,Polygon,"-76.334287, 36.820791; -76.334287, 36.969373; -76.177085, 36.969373; -76.177085, 36.820791","Norfolk, VA",Norfolk, VA,12/16/2014 13:58,1418738285
United States,Polygon,"-76.334287, 36.820791; -76.334287, 36.969373; -76.177085, 36.969373; -76.177085, 36.820791","Norfolk, VA",Norfolk, VA,12/17/2014 14:21,1418826064
United States,Polygon,"-76.334287, 36.820791; -76.334287, 36.969373; -76.177085, 36.969373; -76.177085, 36.820791","Norfolk, VA",Norfolk, VA,12/17/2014 14:21,1418826092
